neighborhood,population,population_over_65,low_income_households,ac_prevalence
Panchavati,200000,20.0%,40.0%,50.0%
Nashik Road,170000,15.0%,35.0%,55.0%
CIDCO,160000,10.0%,25.0%,65.0%
Indiranagar_1,236057,21.9%,41.6%,28.6%
Indiranagar_2,139949,17.2%,36.4%,41.5%
Indiranagar_3,190074,11.3%,22.1%,48.4%
Indiranagar_4,156688,15.1%,34.0%,38.0%
Indiranagar_5,145485,13.8%,33.1%,41.3%
Indiranagar_6,175973,20.1%,41.5%,27.2%
Indiranagar_7,147595,12.4%,41.3%,40.2%
Indiranagar_8,184369,16.8%,42.9%,31.2%
Indiranagar_9,199614,16.3%,45.0%,26.6%
Indiranagar_10,201605,20.4%,35.0%,46.6%
Satpur_1,235159,23.2%,41.6%,39.3%
Satpur_2,161333,11.8%,28.4%,50.0%
Satpur_3,175899,17.8%,36.5%,35.4%
Satpur_4,147238,12.1%,33.9%,39.6%
Satpur_5,149521,16.3%,39.1%,37.4%
Satpur_6,169668,11.7%,28.5%,45.8%
Satpur_7,151732,10.7%,26.7%,49.6%
Satpur_8,163919,9.5%,29.7%,50.2%
Satpur_9,143103,9.0%,20.4%,57.5%
Satpur_10,195146,17.6%,45.0%,29.7%
Ambad_1,172513,8.6%,26.0%,49.5%
Ambad_2,188342,10.4%,26.9%,53.4%
Ambad_3,146920,8.4%,24.6%,46.5%
Ambad_4,203147,22.5%,45.0%,27.5%
Ambad_5,151499,14.6%,39.5%,40.6%
Ambad_6,200859,19.3%,35.6%,34.1%
Ambad_7,157977,15.1%,37.8%,35.2%
Ambad_8,189596,9.0%,25.0%,47.2%
Ambad_9,130360,10.4%,25.0%,43.7%
Ambad_10,186129,9.0%,21.4%,53.4%
Gangapur Road_1,207415,16.6%,37.9%,33.5%
Gangapur Road_2,197624,23.9%,38.4%,41.0%
Gangapur Road_3,157813,13.1%,28.6%,47.7%
Gangapur Road_4,161327,20.1%,35.6%,41.4%
Gangapur Road_5,163034,15.1%,39.7%,37.7%
Gangapur Road_6,150216,15.2%,37.7%,33.5%
Gangapur Road_7,204416,20.2%,35.9%,33.4%
Gangapur Road_8,196019,13.1%,31.9%,45.9%
Gangapur Road_9,230966,22.2%,42.3%,26.9%
Gangapur Road_10,208514,16.1%,33.6%,43.7%
Dwarka_1,138291,10.2%,26.9%,50.2%
Dwarka_2,173579,8.9%,23.3%,55.2%
Dwarka_3,180717,15.4%,29.3%,43.8%
Dwarka_4,179519,23.8%,38.3%,42.2%
Dwarka_5,190047,15.0%,36.1%,38.8%
Dwarka_6,174236,9.1%,20.2%,56.8%
Dwarka_7,188189,11.8%,29.1%,44.0%
Dwarka_8,199125,14.6%,41.5%,40.0%
Dwarka_9,146844,9.5%,28.5%,43.9%
Dwarka_10,153260,11.4%,29.3%,39.7%
Meri_1,213691,18.9%,36.1%,36.1%
Meri_2,182314,8.5%,27.1%,48.7%
Meri_3,154865,9.0%,26.1%,43.0%
Meri_4,178696,13.2%,29.0%,44.6%
Meri_5,230929,16.2%,41.3%,32.9%
Meri_6,186252,17.2%,45.0%,34.7%
Meri_7,180020,16.3%,36.9%,38.7%
Meri_8,192295,13.6%,41.5%,32.9%
Meri_9,140440,9.6%,27.0%,42.9%
Meri_10,161043,9.3%,28.0%,43.8%
Deolali_1,144055,8.7%,20.8%,53.2%
Deolali_2,147784,12.9%,31.5%,44.2%
Deolali_3,187815,10.6%,25.2%,52.0%
Deolali_4,174722,8.2%,25.7%,44.6%
Deolali_5,149880,8.4%,20.9%,51.4%
Deolali_6,174026,16.1%,44.2%,35.1%
Deolali_7,155766,9.6%,26.2%,50.7%
Deolali_8,189969,21.0%,40.1%,39.9%
Deolali_9,147079,12.4%,37.0%,31.4%
Deolali_10,206037,19.1%,42.3%,32.1%
Tidke Colony_1,200019,14.3%,41.5%,39.2%
Tidke Colony_2,150592,14.3%,28.5%,48.1%
Tidke Colony_3,180589,14.3%,37.5%,35.2%
Tidke Colony_4,169730,16.2%,32.9%,48.2%
Tidke Colony_5,201795,15.3%,33.9%,42.0%
Tidke Colony_6,185752,12.8%,31.5%,44.6%
Tidke Colony_7,204949,17.9%,42.9%,35.5%
Tidke Colony_8,161685,15.2%,35.0%,38.5%
Tidke Colony_9,142798,12.3%,41.4%,38.4%
Tidke Colony_10,201062,16.1%,34.8%,40.1%
College Road_1,155938,14.0%,37.4%,41.1%
College Road_2,223169,16.7%,39.9%,28.9%
College Road_3,195322,23.1%,37.6%,32.0%
College Road_4,181565,11.5%,28.4%,45.6%
College Road_5,180599,10.8%,20.8%,48.4%
College Road_6,189941,19.0%,45.0%,36.3%
College Road_7,187229,14.3%,29.2%,49.7%
College Road_8,155150,11.6%,21.1%,53.8%
College Road_9,157994,8.2%,21.2%,48.5%
College Road_10,186731,15.5%,41.5%,31.8%
Mhasrul_1,195064,13.3%,41.5%,26.7%
Mhasrul_2,157942,12.3%,40.9%,39.9%
Mhasrul_3,201912,15.1%,36.8%,40.9%
Mhasrul_4,178673,15.5%,40.6%,28.0%
Mhasrul_5,164629,19.2%,33.7%,39.0%
Mhasrul_6,211747,19.1%,35.7%,36.1%
Mhasrul_7,153676,14.7%,28.5%,43.5%
