neighborhood,sensitivity,adaptive_capacity,hvi
Bibwewadi_5,1.0,1.0,1.0
Viman Nagar_2,0.9857819905213269,1.0,0.9914691943127961
Camp_1,0.976303317535545,1.0,0.985781990521327
Magarpatta_7,0.9668246445497629,1.0,0.9800947867298577
Sinhagad Road_3,0.9620853080568719,1.0,0.9772511848341231
Katraj_6,0.995260663507109,0.9099999999999999,0.9611563981042653
Aundh_5,0.9905213270142179,0.8799999999999999,0.9463127962085307
Katraj_7,0.8767772511848341,1.0,0.9260663507109005
Bibwewadi_7,0.8625592417061608,1.0,0.9175355450236965
Deccan_4,0.8151658767772509,1.0,0.8890995260663506
Deccan_2,0.895734597156398,0.8733333333333334,0.8867740916271721
Aundh_6,0.924170616113744,0.8133333333333332,0.8798357030015798
Deccan_3,0.772511848341232,1.0,0.8635071090047393
Viman Nagar_1,0.9431279620853079,0.7333333333333334,0.859210110584518
Viman Nagar_4,0.867298578199052,0.8366666666666667,0.8550458135860979
Karve Nagar_1,0.8293838862559237,0.8700000000000001,0.8456303317535543
Wakad_7,0.9052132701421801,0.72,0.831127962085308
Viman Nagar_3,0.8056872037914689,0.8666666666666667,0.830078988941548
Bibwewadi_6,0.947867298578199,0.6366666666666667,0.823387045813586
Koregaon Park_1,0.9289099526066351,0.6633333333333333,0.8226793048973144
Karve Nagar_6,0.7962085308056873,0.8533333333333334,0.8190584518167457
Kharadi_6,0.824644549763033,0.8099999999999999,0.8187867298578198
Wakad_1,0.6824644549763033,1.0,0.8094786729857819
Camp_4,0.6777251184834124,1.0,0.8066350710900474
Camp_3,0.7156398104265403,0.9066666666666667,0.792050552922591
Koregaon Park_3,0.7725118483412324,0.8133333333333332,0.7888404423380728
Kharadi_1,0.8104265402843602,0.7466666666666666,0.7849225908372828
Baner_2,0.8862559241706158,0.6099999999999999,0.7757535545023695
Kharadi_4,0.8625592417061608,0.6266666666666666,0.7682022116903631
Magarpatta_2,0.8151658767772509,0.6866666666666668,0.7637661927330173
Pimple Saudagar_6,0.6398104265402843,0.9433333333333334,0.761219589257504
Pimple Saudagar_1,0.5971563981042655,1.0,0.7582938388625593
Pimple Saudagar_4,0.7109004739336492,0.8233333333333335,0.7558736176935229
Baner_7,0.8151658767772509,0.6299999999999999,0.7410995260663504
Viman Nagar_7,0.6492890995260661,0.8633333333333333,0.734906793048973
Sinhagad Road_1,0.7914691943127959,0.6400000000000001,0.7308815165876776
Kharadi_7,0.6018957345971562,0.9233333333333335,0.7304707740916271
Bibwewadi_3,0.7488151658767771,0.7,0.7292890995260662
Deccan_7,0.7014218009478674,0.7666666666666666,0.7275197472353871
Sinhagad Road_2,0.7914691943127959,0.6266666666666666,0.7255481832543442
Magarpatta_3,0.7582938388625592,0.6633333333333333,0.7203096366508688
Magarpatta_1,0.7156398104265403,0.7166666666666667,0.7160505529225909
Kharadi_2,0.5402843601895734,0.9433333333333334,0.7015039494470774
Baner_4,0.6777251184834121,0.7366666666666667,0.7013017377567139
Magarpatta_4,0.7488151658767774,0.6166666666666667,0.6959557661927331
Baner_3,0.5450236966824644,0.8466666666666667,0.6656808846761453
Koregaon Park_5,0.6777251184834124,0.6033333333333334,0.6479684044233808
Kharadi_3,0.6018957345971562,0.7166666666666667,0.6478041074249603
Hadapsar,0.6587677725118483,0.5,0.5952606635071089
Katraj_1,0.42654028436018954,0.8333333333333334,0.5892575039494471
Baner_5,0.5592417061611372,0.6333333333333333,0.5888783570300157
Karve Nagar_4,0.47393364928909915,0.7400000000000001,0.5803601895734596
Koregaon Park_4,0.687203791469194,0.40333333333333343,0.5736556082148497
Aundh_7,0.4976303317535545,0.6866666666666668,0.5732448657187994
Katraj_4,0.4976303317535545,0.6566666666666667,0.5612448657187994
Karve Nagar_7,0.4834123222748813,0.6366666666666667,0.5447140600315954
Baner_1,0.4407582938388624,0.6933333333333332,0.5417883096366507
Aundh_2,0.3886255924170614,0.75,0.5331753554502369
Bibwewadi_1,0.4976303317535545,0.5666666666666667,0.5252448657187994
Baner_6,0.37440758293838855,0.7433333333333332,0.5219778830963664
Katraj_5,0.30805687203791465,0.8333333333333334,0.5181674565560821
Viman Nagar_6,0.4312796208530806,0.6433333333333333,0.5161011058451817
Shivajinagar,0.7061611374407581,0.16666666666666663,0.4903633491311215
Sinhagad Road_6,0.4265402843601892,0.5833333333333333,0.4892575039494468
Wakad_2,0.3601895734597157,0.6733333333333335,0.4854470774091628
Deccan_6,0.44549763033175344,0.5433333333333332,0.4846319115323854
Karve Nagar_3,0.4739336492890995,0.4833333333333333,0.477693522906793
Camp_7,0.4549763033175356,0.5033333333333334,0.4743191153238547
Koregaon Park_6,0.43601895734597135,0.53,0.47361137440758283
Magarpatta_6,0.3649289099526064,0.6299999999999999,0.4709573459715638
Pimple Saudagar_2,0.29383886255924146,0.7333333333333334,0.4696366508688783
Deccan_5,0.30805687203791465,0.67,0.4528341232227488
Pimple Saudagar_7,0.3601895734597157,0.5666666666666667,0.4427804107424961
Camp_5,0.3601895734597157,0.5433333333333332,0.4334470774091627
Aundh_4,0.48815165876777233,0.33666666666666667,0.42755766192733
Katraj_2,0.43601895734597135,0.3966666666666666,0.4202780410742495
Aundh_1,0.29857819905213256,0.5900000000000001,0.41514691943127957
Koregaon Park_2,0.4028436018957346,0.4266666666666665,0.4123728278041074
Katraj_3,0.42654028436018954,0.37,0.40392417061611374
Magarpatta_5,0.20379146919431265,0.7033333333333334,0.40360821484992093
Bibwewadi_4,0.28909952606635075,0.5433333333333332,0.3907930489731437
Viman Nagar_5,0.2985781990521329,0.52,0.38714691943127977
Koregaon Park_7,0.3364928909952607,0.44666666666666666,0.38056240126382307
Wakad_4,0.4170616113744074,0.32000000000000006,0.37823696682464447
Wakad_5,0.3364928909952607,0.44000000000000006,0.3778957345971564
Karve Nagar_2,0.21327014218009444,0.6033333333333334,0.36929541864139004
Pimple Saudagar_3,0.31279620853080575,0.44333333333333325,0.36501105845181675
Camp_6,0.2322274881516587,0.5566666666666668,0.36200315955766194
Bibwewadi_2,0.40758293838862564,0.2799999999999999,0.35654976303317537
Pimple Saudagar_5,0.3649289099526064,0.33333333333333337,0.3522906793048972
Kharadi_5,0.1706161137440759,0.5833333333333333,0.33570300157977884
Wakad_3,0.1469194312796209,0.5766666666666665,0.31881832543443916
Camp_2,0.1706161137440759,0.5133333333333333,0.30770300157977887
Sinhagad Road_5,0.16587677725118483,0.52,0.3075260663507109
Wakad_6,0.20379146919431265,0.3400000000000001,0.2582748815165876
Sinhagad Road_4,0.11374407582938381,0.44666666666666666,0.24691311216429696
Deccan_1,0.09952606635071096,0.41666666666666663,0.22638230647709323
Kothrud,0.3270142180094786,0.0,0.19620853080568715
Aundh_3,0.1895734597156398,0.17666666666666653,0.1844107424960505
Karve Nagar_5,0.0,0.29000000000000015,0.11600000000000006
